Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID	Genome	Last_Change	MSL_of_Last_Change	Proposal_for_Last_Change_
1	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Chiyouviridae		Wargodvirus		Wargodvirus xiongnu	ICTV202420188	dsDNA	New,	40	2024.005A.Bathyarchaeia_4newfam.zip
2	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus beppuense	ICTV201908643	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
3	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Alphalipothrixvirus		Alphalipothrixvirus umijigokuense	ICTV201908644	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
4	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus acidiani	ICTV20094000	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
5	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus hveragerdiense	ICTV20041365	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
6	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pezzuloense	ICTV20094002	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
7	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus pozzuoliense	ICTV20094001	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
8	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus puteoliense	ICTV20094003	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
9	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Betalipothrixvirus		Betalipothrixvirus uzonense	ICTV20094004	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
10	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus beppuense	ICTV201908645	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
11	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Lipothrixviridae		Deltalipothrixvirus		Deltalipothrixvirus pozzuoliense	ICTV20084110	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
12	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Azorudivirus		Azorudivirus furnasense	ICTV202011720	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
13	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus acidiani	ICTV202011717	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
14	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus metallosphaerae	ICTV202011718	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
15	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus pozzuoliense	ICTV202011716	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
16	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Hoswirudivirus		Hoswirudivirus saccharolobi	ICTV202011719	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
17	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus gunnuhverense	ICTV202011709	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
18	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus hveragerdiense	ICTV19991653	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
19	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus kverkfjoellense	ICTV19972219	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
20	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Itarudivirus		Itarudivirus pozzuoliense	ICTV20084855	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
21	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Japarudivirus		Japarudivirus beppuense	ICTV202011721	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
22	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Mexirudivirus		Mexirudivirus azufresense	ICTV202011722	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
23	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus acidum	ICTV202011714	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
24	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus aestus	ICTV202011713	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
25	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus caloris	ICTV202011712	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
26	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus dryadis	ICTV202011715	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
27	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus nymphense	ICTV202011711	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
28	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus yellowstonense	ICTV202011710	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
29	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Ungulaviridae		Captovirus		Captovirus yellowstonense	ICTV20041366	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
30	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Maximonvirales		Ahmunviridae		Yumkaaxvirus		Yumkaaxvirus pescaderoense	ICTV202214297	dsDNA	New,	38	2022.001A.Nakonvirales_Maximonvirales_Coyopavirales_3no.zip
31	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus pozzuoliense	ICTV20165504	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
32	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus puteoliense	ICTV202012054	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
33	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Betatristromavirus		Betatristromavirus kraflaense	ICTV19871208	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
34	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo1	ICTV20093038	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
35	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo2	ICTV20093039	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
36	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo3	ICTV20175570	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
37	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus anguillidallo1	ICTV20115694	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
38	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo1	ICTV20093040	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
39	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo2	ICTV20093041	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
40	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo3	ICTV20083037	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
41	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus acipenseridallo2	ICTV20093043	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
42	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo1	ICTV19981539	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
43	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo2	ICTV20093045	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
44	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo1	ICTV20093046	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
45	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo2	ICTV20093047	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
46	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo3	ICTV20095288	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
47	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Aurivirus		Aurivirus haliotidmalaco1	ICTV20125911	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
48	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Ostreavirus		Ostreavirus ostreidmalaco1	ICTV20083116	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
49	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus cacatuidalpha2	ICTV202214013	dsDNA	New,	38	2022.002D.Herpesvirales_9nsp.zip
50	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus gallidalpha1	ICTV19951033	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
51	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus psittacidalpha1	ICTV20073819	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
52	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus psittacidalpha5	ICTV202214014	dsDNA	New,	38	2022.002D.Herpesvirales_9nsp.zip
53	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus anatidalpha1	ICTV20115693	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
54	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus columbidalpha1	ICTV20083040	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
55	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus gallidalpha2	ICTV19981472	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
56	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus gallidalpha3	ICTV19981473	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
57	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus meleagridalpha1	ICTV19951077	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
58	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus spheniscidalpha1	ICTV201856397	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
59	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Scutavirus		Scutavirus chelonidalpha5	ICTV20083054	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
60	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Scutavirus		Scutavirus testudinidalpha3	ICTV201856398	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip
